date,questions
2015-11-14,3
2015-07-07,3
2015-06-10,3
2015-06-15,3
2015-06-14,3
2017-04-13,3
2017-03-04,3
2016-11-29,3
2018-02-16,3
2016-04-07,3
2017-11-23,3
2017-04-06,3
2017-12-09,3
2015-05-02,3
2015-05-09,3
2017-05-14,3
2017-07-24,3
2017-07-23,3
2015-03-24,3
2015-06-26,3
2015-06-27,3
2015-06-20,3
2015-06-23,3
2016-12-13,3
2018-01-23,3
2016-06-23,3
2018-04-27,3
2018-02-07,3
2016-01-05,3
2016-09-27,3
2016-02-20,3
2017-05-05,3
2017-05-09,3
2016-11-03,3
2016-11-04,3
2016-03-30,3
2016-04-20,3
2016-04-24,3
2018-03-02,3
2016-06-06,3
2016-02-18,3
2015-08-18,3
2015-09-28,3
2017-11-03,3
2015-07-12,3
2017-12-24,3
2017-12-22,3
2017-12-21,3
2015-06-02,3
2015-06-01,3
2015-08-26,3
2018-02-23,3
2018-02-28,3
2015-04-27,3
2016-10-24,3
2018-03-10,3
2017-12-14,3
2015-05-11,3
2015-05-12,3
2017-10-23,3
2016-02-09,3
2016-02-08,3
2015-11-15,2
2017-11-14,2
2017-11-13,2
2015-07-01,2
2016-09-09,2
2017-04-16,2
2017-04-11,2
2017-04-12,2
2017-04-18,2
2017-03-06,2
2018-05-03,2
2018-05-08,2
2018-02-14,2
2018-02-15,2
2018-02-13,2
2016-04-06,2
2017-10-09,2
2017-06-09,2
2017-06-07,2
2017-05-10,2
2017-07-25,2
2017-01-16,2
2015-12-04,2
2016-03-29,2
2017-02-06,2
2015-06-24,2
2015-06-22,2
2016-09-12,2
2016-12-12,2
2016-12-17,2
2017-01-22,2
2015-03-09,2
2016-07-01,2
2018-01-29,2
2016-07-05,2
2018-01-25,2
2016-07-08,2
2018-05-15,2
2016-06-14,2
2015-08-01,2
2015-08-02,2
2018-04-28,2
2016-07-07,2
2017-03-09,2
2017-03-26,2
2017-12-30,2
2017-06-15,2
2017-06-19,2
2017-01-19,2
2017-08-03,2
2017-08-01,2
2017-03-20,2
2017-05-08,2
2017-07-13,2
2018-04-19,2
2015-07-25,2
2016-04-29,2
2017-02-15,2
2018-03-25,2
2015-06-30,2
2016-09-01,2
2016-10-19,2
2018-03-05,2
2016-07-11,2
2015-05-21,2
2016-07-18,2
2017-10-31,2
2016-06-04,2
2016-02-16,2
2016-02-14,2
2015-08-15,2
2015-03-18,2
2015-11-09,2
2015-03-11,2
2017-11-01,2
2017-11-07,2
2015-07-15,2
2015-12-21,2
2015-12-22,2
2016-03-07,2
2017-05-11,2
2017-02-22,2
2017-02-20,2
2015-03-20,2
2015-06-03,2
2015-06-08,2
2015-06-09,2
2015-05-19,2
2016-12-31,2
2017-04-04,2
2017-04-02,2
2017-03-17,2
2018-02-26,2
2015-04-25,2
2015-04-28,2
2016-04-10,2
2018-03-16,2
2016-01-23,2
2016-01-20,2
2016-01-25,2
2015-03-12,2
2015-05-15,2
2015-05-10,2
2016-06-30,2
2017-10-27,2
2014-10-10,2
2016-02-01,2
2016-02-07,2
2015-11-11,1
2017-11-19,1
2017-11-18,1
2016-03-16,1
2015-12-18,1
2016-08-31,1
2015-06-11,1
2018-03-29,1
2018-03-26,1
2016-09-05,1
2016-09-06,1
2016-09-07,1
2018-03-22,1
2018-03-23,1
2016-12-06,1
2017-01-30,1
2017-01-31,1
2017-04-19,1
2015-02-12,1
2018-01-15,1
2018-01-17,1
2015-03-31,1
2017-08-24,1
2017-05-29,1
2017-08-27,1
2017-08-20,1
2017-08-22,1
2016-11-21,1
2015-04-30,1
2016-04-01,1
2017-11-28,1
2017-11-27,1
2017-11-24,1
2017-11-20,1
2016-10-31,1
2017-06-29,1
2016-01-31,1
2017-06-23,1
2017-06-21,1
2017-06-26,1
2018-01-30,1
2017-10-03,1
2016-06-24,1
2017-06-01,1
2016-06-29,1
2017-05-12,1
2016-09-13,1
2017-03-31,1
2016-07-30,1
2017-04-20,1
2017-07-29,1
2017-07-27,1
2017-07-26,1
2016-03-21,1
2017-01-15,1
2016-03-27,1
2017-02-03,1
2018-04-04,1
2017-04-28,1
2016-12-19,1
2016-09-16,1
2016-09-14,1
2015-02-24,1
2017-01-28,1
2017-01-27,1
2017-01-26,1
2017-01-23,1
2018-05-16,1
2018-05-10,1
2016-06-11,1
2015-12-31,1
2014-11-03,1
2014-11-05,1
2014-11-04,1
2016-01-07,1
2015-03-30,1
2016-01-09,1
2016-09-28,1
2016-09-21,1
2016-09-26,1
2017-06-12,1
2016-02-23,1
2017-08-06,1
2017-05-07,1
2017-09-18,1
2017-09-17,1
2017-09-11,1
2017-07-16,1
2017-07-18,1
2017-07-19,1
2018-04-10,1
2018-04-16,1
2018-04-17,1
2018-04-18,1
2016-04-28,1
2016-10-18,1
2017-04-14,1
2017-04-17,1
2018-03-01,1
2018-03-06,1
2018-03-08,1
2018-03-09,1
2015-08-03,1
2015-02-18,1
2016-07-12,1
2017-10-30,1
2017-06-22,1
2016-06-01,1
2017-06-27,1
2016-06-03,1
2014-10-06,1
2015-11-07,1
2015-03-10,1
2017-11-04,1
2015-07-16,1
2017-11-09,1
2015-07-13,1
2016-03-09,1
2016-03-04,1
2017-02-26,1
2017-02-27,1
2016-01-11,1
2017-12-28,1
2017-12-27,1
2017-12-26,1
2017-12-23,1
2017-03-03,1
2015-05-18,1
2017-04-05,1
2017-04-01,1
2017-01-09,1
2016-05-26,1
2016-05-20,1
2017-08-18,1
2017-03-15,1
2017-05-30,1
2017-03-12,1
2017-03-13,1
2017-09-05,1
2014-11-20,1
2017-07-07,1
2017-07-05,1
2017-07-04,1
2017-07-03,1
2018-02-20,1
2018-02-25,1
2018-02-24,1
2015-04-22,1
2015-04-29,1
2016-04-13,1
2015-07-31,1
2018-03-15,1
2018-03-12,1
2016-01-22,1
2017-12-17,1
2017-12-19,1
2016-07-25,1
2016-07-21,1
2017-10-22,1
2017-10-24,1
2017-10-28,1
